Estação,Prof. (m),Amônio (microM),Nitrito (microM),Nitrato (microM),Fosfato (microM),Silicato (microM),pH 
1,3,"0,2183333333","0,102","0,3142","0,429165","20,61436","7,73"
,16,"0,3493333333","0,224","0,221","0,55539","17,771","8,02"
,20,"0,4366666667","0,957","2,572","0,85833","19,103825","7,97"
,26,"0,7641666667","1,043","2,321","0,90882","19,01497","7,96"
2,3,0,"0,203","1,201","0,40473","14,32125","7,71"
,20,0,"0,31","3,911","0,831945","9,63125","7,92"
,28,"0,3507666667","0,1966","6,037","0,8994","10,46875","7,95"
3,3,"0,002404","0,214","0,616","0,308925","14,47724","8,02"
,8,"0,194724","0,236","1,234","0,45309","13,80388","8,04"
,12,"0,314924","0,59","4,86647","0,432495","14,22473","8,06"
,23,"0,192604","0,617","9,863","0,844395","8,83785","7,98"
,30,"0,190684","0,692","7,473","0,90618","9,00619","7,99"
,44,"0,190684","0,49","8,352","0,926775","9,42704",8
4,3,"0,21","0,147","0,716","0,40831","8,30484","8,01"
,20,"0,2635606667","0,231","0,593","0,47278","0,8142","8,14"
,35,"0,1998074","0,405","6,975","0,8596","1,87266","8,11"
,60,"0,2985580667","0,847","9,514","1,16046","3,01254",8
,75,"0,1809006667","1,407","9,494","1,22493","5,37372","8,04"
,100,"0,1998074","1,557","10,681","1,20344","5,2923","8,02"
,127,"0,3067673333","1,566","11,671","1,20344","5,53656","8,02"
5,3,"0,1947","0,192","0,842","0,29568","4,92544","8,07"
,38,0,"0,163","0,561","0,14784","0,92352","8,27"
,56,"0,2364","0,201","7,361","0,22176","0,7696","8,29"
,250,"0,2561","0,227","19,885","0,97944","2,84752","8,11"
,450,"0,2561","0,199","20,33","1,44144","7,92688",8
,950,"0,2758","0,287","23,89","2,0328","18,23952",8
,1000,"0,2167","0,304","24,07","2,0328","21,70272","7,89"
,1025,"0,2758","0,215","23,94","2,06976","19,77872","7,87"
,1050,"0,2167","0,301","24,86","1,97736","22,62624","7,9"
6,3,0,0,"1,0541","0,29458","4,52335","8,1"
,30,"0,203",0,"0,8642","0,29458","2,01811","8,08"
,46,"0,214",0,"2,221","0,24926","1,46139","8,01"
,1680,"0,189","0,206","28,901","1,79014","16,49283","8,1"
,1705,0,"0,315","30,449","1,79014","16,7016","7,97"
,1730,0,"0,309","32,289","1,76748","17,25116457","7,98"
7,3,"0,2541","0,213","0,273","0,0383","1,57781",8
