# Constructed from biom file
#OTU ID	s140.assembled.fastq	s12.assembled.fastq	s14.assembled.fastq	s139.assembled.fastq	s13.assembled.fastq	s11.assembled.fastq	s10.assembled.fastq	s9.assembled.fastq	s16.assembled.fastq	s138.assembled.fastq	s15.assembled.fastq	s5.assembled.fastq	s7.assembled.fastq	s8.assembled.fastq	s6.assembled.fastq	s137.assembled.fastq	taxonomy
OTU26919915578250	3.0	2.0	1.0	8.0	1.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__SB-1; g__; s__
OTU44242958067982	11.0	2.0	10.0	15.0	10.0	3.0	8.0	3.0	10.0	3.0	8.0	2.0	3.0	9.0	4.0	3.0	Unassigned
OTU77781940993588	3.0	0.0	0.0	5.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	k__Bacteria; p__OP8; c__OP8_1; o__; f__; g__; s__
OTU25102583375314	0.0	0.0	0.0	0.0	0.0	0.0	7.0	4.0	0.0	6.0	0.0	1.0	5.0	4.0	1.0	10.0	Unassigned
OTU3520427623591	0.0	0.0	0.0	0.0	0.0	0.0	4.0	7.0	0.0	1.0	0.0	2.0	1.0	5.0	7.0	0.0	Unassigned
OTU41933618273596	9.0	9.0	7.0	26.0	5.0	2.0	11.0	15.0	4.0	10.0	2.0	10.0	12.0	27.0	9.0	22.0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__; f__; g__; s__
OTU86630471896127	3.0	4.0	1.0	4.0	2.0	2.0	1.0	2.0	6.0	5.0	6.0	3.0	1.0	11.0	2.0	5.0	Unassigned
OTU54631883164497	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	3.0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophaceae; g__; s__
OTU77504558290356	1.0	15.0	9.0	13.0	5.0	19.0	16.0	11.0	21.0	9.0	4.0	5.0	9.0	27.0	8.0	13.0	k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__SB-34; f__; g__; s__
OTU34529137174759	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	2.0	0.0	2.0	k__Bacteria; p__Chloroflexi; c__Dehalococcoidetes; o__Dehalococcoidales; f__Dehalococcoidaceae; g__; s__
OTU61813105310294	3.0	0.0	0.0	3.0	0.0	0.0	18.0	22.0	2.0	6.0	0.0	17.0	8.0	5.0	5.0	15.0	Unassigned
OTU4656158463771	9.0	10.0	10.0	17.0	7.0	5.0	37.0	58.0	19.0	33.0	16.0	23.0	23.0	60.0	40.0	70.0	k__Bacteria; p__WS3; c__PRR-12; o__PBS-III-9; f__; g__; s__
OTU68167532474187	11.0	2.0	12.0	27.0	3.0	3.0	8.0	10.0	58.0	7.0	35.0	10.0	2.0	4.0	4.0	15.0	k__Archaea; p__[Parvarchaeota]; c__[Parvarchaea]; o__YLA114; f__; g__; s__
OTU73571466213693	1.0	3.0	5.0	4.0	1.0	4.0	1.0	0.0	6.0	0.0	3.0	1.0	1.0	1.0	2.0	1.0	k__Bacteria; p__[Caldithrix]; c__KSB1; o__GW-22; f__; g__; s__
OTU92846671339469	1.0	0.0	1.0	3.0	0.0	0.0	2.0	3.0	0.0	4.0	1.0	4.0	0.0	4.0	5.0	12.0	k__Archaea; p__Euryarchaeota; c__Thermoplasmata; o__E2; f__DHVEG-1; g__; s__
OTU48567101963036	0.0	0.0	0.0	0.0	0.0	0.0	8.0	18.0	0.0	7.0	0.0	7.0	5.0	8.0	13.0	9.0	k__Archaea; p__Euryarchaeota; c__DSEG; o__ArcA07; f__; g__; s__
